DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
66,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00002,,CARTON BOX 9948190000010143 BOX/EUROPRAN LOGO PACKING BOX/ 370*370*430MM/YN,2000,17500,35000000,,KRT01587
67,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00003,,SIKU CARTON UK. 50X50X5X700 MM,100,4200,420000,,KRT01579
68,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00005,,SIKU CARTON UK. 50X50X5X1050 MM,100,6300,630000,,KRT01608
69,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00007,,SIKU CARTON UK.50X50X5X1170 MM,100,7000,700000,,KRT01216
70,PT. EVERPRO  INDONESIA TECHNOLOGIES,FG-EIT-00024,,CARTON BOX FIVE LAYER CORRUGATED PAPER OUTER SIZE 640X360X270 MM (994819000010154),25,21621,540525,,KRT01218
71,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00005,PT. FUKOKU TOKAI RUBBER INDONESIA,LAYER 150X290MM K150/M125/K150 CF,150,340,51000,35084000,
72,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00006,,CARTON BOX HOP TORQUE 305X305X216MM (PRINTING) K150/M125X3/K150 CBF,340,7100,2414000,,KRT01425
73,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00014,,CARTON BOX,220,1500,330000,,KRT01217
74,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00017,,BOX DPG-MC16-M100 315X315X235MM K150/M125X3/K150 CBF,1170,7000,8190000,,KRT02896
75,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00022,,LAYER 1050X1050MM K150/M125X3/K150 CB/F,300,12300,3690000,,KRT02897
76,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00028,,CARTON BOX IND 335X265X100 MM,600,5800,3480000,,KRT02725
77,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00029,,CARTON BOX 011 SF 180X275X80 MM,150,1900,285000,,
78,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00034,,CARTON BOX ME017116 UK 355X355X97 MM (TYPE B PARTISI/LAYER 2 PCS 340X200 MM),1730,7300,12629000,,KRT01307
79,PT. FUKOKU TOKAI RUBBER INDONESIA,FG-FTR-00049,,CARTON BOX ME017116; 355X355X110MM (TANPA PARTISI),550,7300,4015000,,KRT03423
80,PT. GUNA BAKTI UNGGUL,FG-GBU-00057,PT. GUNA BAKTI UNGGUL,DUS BASKOM SEGI RUBY L 16,50,20850,1042500,1830500,KRT01647
81,PT. GUNA BAKTI UNGGUL,FG-GBU-00083,,"MASTER BOX CANARY M (UK. 56X32,4X40 CM)",50,15760,788000,,KRT01007
82,PT. INDONESIA NIPPON SEIKI,FG-INS-00001,PT. INDONESIA NIPPON SEIKI,SIKU KARTON UK. 5X5X0.5CM (P=110CM),1080,6353,6861240,167181850,KRT01008
83,PT. INDONESIA NIPPON SEIKI,FG-INS-00002,,SIKU KARTON UK. 5X5X0.5CM (P=85CM),600,4935,2961000,,KRT01003
84,PT. INDONESIA NIPPON SEIKI,FG-INS-00006,,SIKU KARTON 5X5X0.5 (P= 106 CM),720,6143,4422960,,KRT01009
85,PT. INDONESIA NIPPON SEIKI,FG-INS-00007,,SIKU KARTON UK. 5X5X0.5CM (P=96CM),2200,5563,12238600,,KRT00307
86,PT. INDONESIA NIPPON SEIKI,FG-INS-00008,,KARTON BOX 201405 (530X350X320MM),1610,23750,38237500,,KRT00306
87,PT. INDONESIA NIPPON SEIKI,FG-INS-00012,,KARTON BOX 201404,1470,23750,34912500,,KRT00145
88,PT. INDONESIA NIPPON SEIKI,FG-INS-00013,,CARTON BOX 700X400X240MM K150/M125/K150 CF BKA,1780,15500,27590000,,
89,PT. INDONESIA NIPPON SEIKI,FG-INS-00016,,PARTISI B5G PANJANG/PENDEK,280,10185,2851800,,
90,PT. INDONESIA NIPPON SEIKI,FG-INS-00017,,PALLET 107 X 107 X 12,112,106000,11872000,,
91,PT. INDONESIA NIPPON SEIKI,FG-INS-00018,,SIKU KARTON UK 5X5X0.4 CM (P=100 CM),700,6353,4447100,,KRT02924
92,PT. INDONESIA NIPPON SEIKI,FG-INS-00028,,LAYER 690X390 MM M125/M125/M125 B/F (TANPA PE FOAM),900,1900,1710000,,KRT01262
93,PT. INDONESIA NIPPON SEIKI,FG-INS-00029,,"SIKU 5CM X 5CM X 0,5 CM (P= 120 CM)",1200,10400,12480000,,KRT00476
94,PT. INDONESIA NIPPON SEIKI,FG-INS-00034,,PARTISI B2B 64 X 44 X 135,610,10815,6597150,,KRT02521
95,PT. INDOPACK MULTI ABADI,FG-IMA-00001,PT. INDOPACK MULTI ABADI,BOX CARTON KPYV K150/M125/K165 650X450X165,710,13650,9691500,9691500,KRT02452
96,PT. KARYA BUMIMAS PERSADA,FG-KBP-00001,PT. KARYA BUMIMAS PERSADA,PARTISI DUS WASTAFEL,5000,1000,5000000,248836400,KRT02188
97,PT. KARYA BUMIMAS PERSADA,FG-KBP-00003,,BOX WASTAFEL,1170,500,585000,,
98,PT. KARYA BUMIMAS PERSADA,FG-KBP-00004,,BOX KLOSET JONGKOK ISI 3 (BBP-BOX-SX),1170,24000,28080000,,
99,PT. KARYA BUMIMAS PERSADA,FG-KBP-00006,,PARTISI SX/MX,15000,10556,158340000,,KRT03902
100,PT. KARYA BUMIMAS PERSADA,FG-KBP-00007,,LAYER SX,1500,8479,12718500,,KRT02798
101,PT. KARYA BUMIMAS PERSADA,FG-KBP-00008,,BOX KLOSET JONGKOK ISI 3 EVOGLO (BBP-BOX-SX-EVG),380,24000,9120000,,KRT02451
