Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PT. Essilorluxottica Professional Solutions Indonesia,2/2/2026 19:41,PO-000006550,0525/JL/CKRG/0226,1,KRT01579,CARTON BOX 360X242X250MM (NON PRINTED) (CSUCMMS002156),60.00,PCS,"4,900.00",0,"294,000.00"," 32,340.00 "," 326,340.00 ",04002600032833755,PO : PO-000006550 DO : DLV-2602023757
PT. Essilorluxottica Professional Solutions Indonesia,2/2/2026 19:41,PO-000006550,0525/JL/CKRG/0226,2,KRT01580,CARTON BOX 495X360X250MM (NON PRINTED) (CSUCMMS002157),100.00,PCS,"7,600.00",0,"760,000.00"," 83,600.00 "," 843,600.00 ",04002600032833755,PO : PO-000006550 DO : DLV-2602023757
PT. Essilorluxottica Professional Solutions Indonesia,2/2/2026 19:41,PO-000006550,0525/JL/CKRG/0226,3,KRT01587,BOX FRAME 15X6.5X4CM (CSUCMMS002913),500.00,PCS,800.00,0,"400,000.00"," 44,000.00 "," 444,000.00 ",04002600032833755,PO : PO-000006550 DO : DLV-2602023757
PT. FUKOKU TOKAI RUBBER INDONESIA,2/2/2026 20:53,022-CM-B-0126,0535/JL/CKRG/0226,1,KRT02895,CARTON BOX TRAD 335X335X260MM K150/M125X3/K150 BC/F,100.00,SHEET,"9,900.00",0,"990,000.00"," 108,900.00 "," 1,098,900.00 ",04002600032833773,PO : 022-CM-B-0126 DO : DLV-2601283682
PT. TRIDAYA PERSANUSA PRATAMA,2/2/2026 20:59,0109/PB/UTM/0126,0537/JL/CKRG/0226,1,KRT00012,ALAS KARTON 110 X 110 CM,250.00,LBR,"15,125.00",0,"3,781,250.00"," 415,937.50 "," 4,197,187.50 ",04002600032833765,PO : 0109/PB/UTM/0126 DO : DLV-2602023759
PT. SIGMA PACK GEMILANG,2/2/2026 21:35,SPG-PO/460/XII-2025,0547/JL/CKRG/0226,1,KRT03547,CB.DPT-IC0G-M034 K200/M125/K200 B/F 570X190X190,220.00,PCS,"6,559.00",0,"1,442,980.00"," 158,727.80 "," 1,601,707.80 ",04002600033525282,PO : SPG-PO/460/XII-2025 DO : DLV-2602023760
,,,,,,,,,,,,,,,
PT. DAE HWA INDONESIA,2/3/2026 10:02,TLJ/25-0108,0434/JL/CKRG/0226,1,KRT00193,CARTON BOX DH12 380X290X150 SINGLE,45.00,EA,"4,450.00",0,"200,250.00"," 22,027.50 "," 222,277.50 ",04002600025426692,PO : TLJ/25-0108 DO : DLV-2602033783
PT. DAE HWA INDONESIA,2/3/2026 10:11,TLJP/26-0005,0435/JL/CKRG/0226,1,KRT01266,PAPER ANGEL 50X50X10X1200,20.00,EA,"16,000.00",0,"320,000.00"," 35,200.00 "," 355,200.00 ",04002600025426681,PO : TLJP/26-0005 DO : DLV-2602033785
