Location From Description,Location From City,Location To Description,Location To City, Truck Type , Quoted Price ,
PABRIK WICA CIKARANG,CIKARANG,TANGERANG,TANGERANG, WINGS BOX ," Rp2,400,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,YOGYAKARTA,YOGYAKARTA, TRUCK BOX KECIL (5-6 ," Rp2,850,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DRIYOREJO,GRESIK, TRUCK BOX KECIL (5-6 ," Rp3,645,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKANDE,SERANG, TRUCK BOX KECIL (5-6 ," Rp1,265,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKANDE,SERANG, TRUCK BOX SEDANG (8- ," Rp2,000,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKANDE,SERANG, WINGS BOX ," Rp4,198,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SERANG,SERANG, GRAND MAX BOX ," Rp1,350,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SERANG,SERANG, TRUCK BOX CDE ," Rp1,450,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SERANG,SERANG, TRUCK BOX KECIL (5-6 ," Rp1,620,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SERANG,SERANG, TRUCK BOX SEDANG (8- ," Rp2,180,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SERANG,SERANG, WINGS BOX ," Rp4,398,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA PUSAT,JAKARTA PUSAT, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA PUSAT,JAKARTA PUSAT, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA PUSAT,JAKARTA PUSAT, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA PUSAT,JAKARTA PUSAT, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA PUSAT,JAKARTA PUSAT, WINGS BOX ," Rp2,070,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SUKOHARJO,SUKOHARJO, TRUCK BOX KECIL (5-6 ," Rp2,850,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, TRUCK BOX KECIL (5-6 ," Rp3,645,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, TRUCK BOX SEDANG (8- ," Rp5,600,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, WINGS BOX ," Rp8,250,000.00 ",
