Location From Description,Location From City,Location To Description,Location To City,Truck Type, Quoted Price 
PABRIK SERANG,SERANG,CIKANDE,SERANG,GRAND MAX BOX," Rp960,000.00 "
PABRIK SERANG,SERANG,CICALENGKA,BANDUNG,GRAND MAX BOX," Rp2,040,000.00 "
PABRIK SERANG,SERANG,CITEUREUP,BOGOR,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,GUNUNG SINDUR,BOGOR,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,SERANG,SERANG,GRAND MAX BOX," Rp900,000.00 "
PABRIK SERANG,SERANG,SLEMAN,SLEMAN,GRAND MAX BOX," Rp3,660,000.00 "
PABRIK SERANG,SERANG,SAYUNG,DEMAK,GRAND MAX BOX," Rp3,720,000.00 "
PABRIK SERANG,SERANG,CIAWI,BOGOR,GRAND MAX BOX," Rp1,680,000.00 "
PABRIK SERANG,SERANG,PABRIK WICA CIKARANG,CIKARANG,GRAND MAX BOX," Rp1,500,000.00 "
PABRIK SERANG,SERANG,GRESIK,GRESIK,GRAND MAX BOX," Rp3,900,000.00 "
PABRIK SERANG,SERANG,LAMPUNG,LAMPUNG,GRAND MAX BOX," Rp4,000,000.00 "
PABRIK SERANG,SERANG,BOGOR,BOGOR,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,BOGOR,BOGOR,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,CIKAMPEK,KARAWANG,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,CIKAMPEK,KARAWANG,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,CIKARANG,BEKASI,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,CIKARANG,BEKASI,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,CIREBON,CIREBON,TRUCK BOX CDE," Rp2,610,000.00 "
PABRIK SERANG,SERANG,CIREBON,CIREBON,TRUCK BOX KECIL (5-6," Rp2,900,000.00 "
PABRIK SERANG,SERANG,DEPOK,DEPOK,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,DEPOK,DEPOK,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,JAKARTA BARAT,JAKARTA BARAT,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,JAKARTA BARAT,JAKARTA BARAT,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,JAKARTA TIMUR,JAKARTA TIMUR,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,JAKARTA TIMUR,JAKARTA TIMUR,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,JAKARTA UTARA,JAKARTA UTARA,TRUCK BOX CDE," Rp1,718,000.00 "
PABRIK SERANG,SERANG,JAKARTA UTARA,JAKARTA UTARA,TRUCK BOX KECIL (5-6," Rp2,091,000.00 "
PABRIK SERANG,SERANG,JOMBANG,JOMBANG,TRUCK BOX KECIL (5-6," Rp4,937,000.00 "
PABRIK SERANG,SERANG,MAGELANG,MAGELANG,TRUCK BOX KECIL (5-6," Rp3,960,000.00 "
PABRIK SERANG,SERANG,MAJALENGKA,MAJALENGKA,TRUCK BOX CDE," Rp2,610,000.00 "
PABRIK SERANG,SERANG,MAJALENGKA,MAJALENGKA,TRUCK BOX KECIL (5-6," Rp2,925,000.00 "
PABRIK SERANG,SERANG,MALANG,MALANG,TRUCK BOX KECIL (5-6," Rp5,064,000.00 "
PABRIK SERANG,SERANG,SENTUL,BOGOR,TRUCK BOX CDE," Rp1,822,000.00 "
PABRIK SERANG,SERANG,SENTUL,BOGOR,TRUCK BOX KECIL (5-6," Rp2,120,000.00 "
PABRIK SERANG,SERANG,SOLO,SOLO,TRUCK BOX KECIL (5-6," Rp4,050,000.00 "
