Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46029.435,KIPO26010022,0047/JL/CKRG/0126,7,TRM0033,FIBERGLASS SLEEVING Ø10MM (WHITE) (NB136-1),200,MTR,9800,0,1960000,215600,2175600,04012600001555976,PO : KIPO26010022                       DO : 12275-070125
PT. KAWATA INDONESIA,46029.435,KIPO26010022,0047/JL/CKRG/0126,8,TRM0034,FIBERGLASS SLEEVING  Ø15MM (WHITE) (NB619),200,MTR,16900,0,3380000,371800,3751800,04012600001555976,PO : KIPO26010022                       DO : 12275-070125
PT. KAWATA INDONESIA,46029.435,KIPO26010022,0047/JL/CKRG/0126,9,TRM0152,CABLE NYAF Ø2.50 MM2 (WHITE) (100MTR/ROLL) (CC476-1),100,MTR,5840,0,584000,64240,648240,04012600001555976,PO : KIPO26010022                       DO : 12275-070125
PT. KAWATA INDONESIA,46029.435,KIPO26010022,0047/JL/CKRG/0126,10,TRM0131,CABLE NYAF Ø0.50MM2 (YELLOW) [100MTR/ROLL] (CC491-1),500,MTR,1465,0,732500,80575,813075,04012600001555976,PO : KIPO26010022                       DO : 12275-070125
PT. KAWATA INDONESIA,46030.3982291667,KIPO25120231,0064/JL/CKRG/0126,1,TRM0672,BOLT (BAUT JT) M4XP0.7XL12MM (SUS304) (NB180),4,PCS,663,0,2652,291.72,2943.72,04002600002187403,PO : KIPO25120231                       DO : 12281-080126
PT. KAWATA INDONESIA,46030.3982291667,KIPO25120231,0064/JL/CKRG/0126,2,TRM0114,BOLT (BAUT L) M6XP1.0XL20MM (SUS304) (NB204),6,PCS,1732,0,10392,1143.12,11535.12,04002600002187403,PO : KIPO25120231                       DO : 12281-080126
PT. KAWATA INDONESIA,46030.3982291667,KIPO25120231,0064/JL/CKRG/0126,3,TRM4307,SPACER NUT M6X18MM (GALVANIZED) FOR XF-400RA (CN050),4,PCS,850,0,3400,374,3774,04002600002187403,PO : KIPO25120231                       DO : 12281-080126
PT. KAWATA INDONESIA,46030.3982291667,KIPO25120231,0064/JL/CKRG/0126,4,TRM0672,BOLT (BAUT JT) M4XP0.7XL12MM (SUS304) (NB180),20,PCS,663,0,13260,1458.6,14718.6,04002600002187403,PO : KIPO25120231                       DO : 12281-080126
PT. KAWATA INDONESIA,46030.3982291667,KIPO25120231,0064/JL/CKRG/0126,5,TRM3917,BOLT (BAUT L) M4XP0.7XL20MM (SUS304) (HC026),30,PCS,989,0,29670,3263.7,32933.7,04002600002187403,PO : KIPO25120231                       DO : 12281-080126
PT. KAWATA INDONESIA,46030.4028009259,KIPO26010033,0066/JL/CKRG/0126,1,TRM2019,BOLT (BAUT JP) M4XP0.7XL30MM (GALVANIZED) (NB1026),1000,PCS,300,0,300000,33000,333000,04002600002187416,PO : KIPO26010033                      DO : 12284-080126
PT. KAWATA INDONESIA,46030.4075578704,KIPO25120221,0065/JL/CKRG/0126,1,TRM0237,"TOWER LIGHT LED (Q-LIGHT) QTG50 LF-BZ 2-2 220-AC220V RA (RED, AMBER) BRACKET TYPE QZ18 C/W BUZZER (RG084)",1,PCS,1583175,0,1583175,174149.25,1757324.25,04002600002187409,PO : KIPO25120221                      DO : 12282-080126
PT. KAWATA INDONESIA,46030.4091203704,KIPO26010022,0067/JL/CKRG/0126,1,TRM0234,TERMINAL LUG RING R1.25-3 (SPECIAL) (NB901),2000,PCS,506,0,1012000,111320,1123320,04002600002187418,PO : KIPO26010022                      DO : 12286-080126
PT. KAWATA INDONESIA,46031.3778703704,KIPO26010022,0097/JL/CKRG/0126,1,TRM0131,CABLE NYAF Ø0.50MM2 (YELLOW) [100MTR/ROLL] (CC491-1),500,MTR,1465,0,732500,80575,813075,04002600002888223,PO : KIPO26010022                      DO : 12288-090126
PT. KAWATA INDONESIA,46031.3779282407,KIPO26010033,0098/JL/CKRG/0126,1,TRM3713,TOGGLE SWITCH C513B (SPDT) ON/OFF/ON (CNTD) 15A 250VAC SELF-LOCKING (RC802),10,PCS,13500,0,135000,14850,149850,04002600002888328,PO : KIPO26010033                      DO : 12289-090126
PT. KAWATA INDONESIA,46031.4075462963,KIPO26010061,0099/JL/CKRG/0126,1,TRM0118,BOLT (BAUT L) M8XP1.25XL25MM (GALVANIZED) (NB031-1),500,PCS,2208,0,1104000,121440,1225440,04002600002888251,PO : KIPO26010061                       DO : 12292-090126
PT. KAWATA INDONESIA,46031.4075462963,KIPO26010061,0099/JL/CKRG/0126,2,TRM0348,FLAT WASHER / RING PLATE (SS400) M6 (GALVANIZED) (NB033),2000,PCS,48,0,96000,10560,106560,04002600002888251,PO : KIPO26010061                       DO : 12292-090126
PT. KAWATA INDONESIA,46031.4075462963,KIPO26010061,0099/JL/CKRG/0126,3,TRM0593,FLAT WASHER / RING PLATE (SS400) M6 GALVANIZED LEBAR (NB041),500,PCS,400,0,200000,22000,222000,04002600002888251,PO : KIPO26010061                       DO : 12292-090126
PT. KAWATA INDONESIA,46031.4075462963,KIPO26010061,0099/JL/CKRG/0126,4,TRM0097,BOLT (BAUT JP) M4XP0.7XL10MM (GALVANIZED) (NB107-1),1000,PCS,149,0,149000,16390,165390,04002600002888251,PO : KIPO26010061                       DO : 12292-090126
PT. KAWATA INDONESIA,46031.4075462963,KIPO26010061,0099/JL/CKRG/0126,5,TRM0592,FLAT WASHER / RING PLATE M8 (SUS304) (NB348),1000,PCS,400,0,400000,44000,444000,04002600002888251,PO : KIPO26010061                       DO : 12292-090126
