Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,4,TRM1089,STRAPPING BAND SIZE : 15MMW X 0.6MMT X 2.500MTR/ROLL (NB064),2,ROL,80000,0,160000,17600,177600,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,5,TRM0058,PYLOX : BLACK NIPPON/RJ (NB027),5,CAN,25000,0,125000,13750,138750,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,6,TRM0228,SILICA GEL 250GR/PACK (NB282),250,PCK,15456,0,3864000,425040,4289040,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
PT INTEGRASI MEDIKA PRIMA,46055.4096527778,PO-L- 202601000168,0408/JL/CKRG/0226,1,TRM3234,PRINT CARTON UK 60 X 100CM,1,PCS,120000,0,120000,13200,133200,04002600022889624,PO : PO-L-202601000168 
PT. KAWASAKI MOTOR INDONESIA,46055.4621412037,C90947,0441/JL/CKRG/0226,1,TRM0487,BOLT FLANGE 8X20 MC3 G7 (K1410-0025),39000,PCS,760,0,29640000,3260400,32900400,04002600025902436,PO : C90947                                  DO : 12354-020226
PT. SUBANG AUTOCOMP INDONESIA,46055.5763888889,SUAI.TLJP-852601-001,0413/JL/CKRG/0226,1,TRM3454,KARET KUMIS TRANSPARAN 5CM (COKLAT),65,KG,205000,0,13325000,1465750,14790750,04002600023365133 ,PO : SUAI.TLJP-852601-001DO NO. : 12364-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,1,TRM0172,KARET GELANG BESAR,200,PCS,62000,0,12400000,1364000,13764000,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,2,TRM0162,FOAM SHEET 2MM,4,PCS,530000,0,2120000,233200,2353200,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,3,TRM0245,KAWAT LAS NICHO 2.6 MM,25,PCS,33450,0,836250,91987.5,928237.5,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,4,TRM0181,MAJUN WARNA,150,KG,5800,0,870000,95700,965700,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,5,TRM0211,MASKING TAVE,96,PCS,5500,0,528000,58080,586080,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,6,TRM0208,MASKER KAIN,150,PCS,9500,0,1425000,156750,1581750,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,7,TRM0185,MARKING SNOWMAN BLUE,120,PCS,14700,0,1764000,194040,1958040,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,8,TRM0188,MARKING SNOWMAN GREEN,120,PCS,14700,0,1764000,194040,1958040,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,9,TRM0192,MARKING SNOWMAN ORANGE,120,PCS,14700,0,1764000,194040,1958040,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,10,TRM0191,MARKING SNOWMAN RED,120,PCS,14700,0,1764000,194040,1958040,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,11,TRM0194,MARKING SNOWMAN WHITE,240,PCS,14700,0,3528000,388080,3916080,04002600041698818,PO : PL2600295                             DO : 12355-020226
"SANOH INDONESIA, PT",46055.6311342593,PL2600295,0616/JL/CKRG/0226,12,TRM0190,MARKING SNOWMAN YELLOW,120,PCS,14700,0,1764000,194040,1958040,04002600041698818,PO : PL2600295                             DO : 12355-020226
PT. KAWATA INDONESIA,46056.3871643519,KIPO25100184,0422/JL/CKRG/0226,1,TRM0072,STEREO FOAM 3MM (NB233),2,ROL,641520,0,1283040,141134.4,1424174.4,04002600024483734,PO : KIPO25100184DO NO. : 12366-030226-KIPO25100184
PT. Essilorluxottica Professional Solutions Indonesia,46056.5915972222,PO-000010914,0648/JL/CKRG/0226,1,TRM1376,LAKBAN BENING BESAR,144,PCS,6750,0,972000,106920,1078920,04002600044538226,PO : PO-000010914                       DO : 12367-030226
PT. Essilorluxottica Professional Solutions Indonesia,46056.5915972222,PO-000010914,0648/JL/CKRG/0226,2,TRM1375,LAKBAN COKLAT BESAR,288,PCS,6750,0,1944000,213840,2157840,04002600044538226,PO : PO-000010914                       DO : 12367-030226
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46056.5950925926,PO-000004125,0649/JL/CKRG/0226,1,TRM1280,PAPER A5,520,RIM,21525,0,11193000,1231230,12424230,04002600044538227,PO : PO-000004125                       DO : 12368-030226
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46056.605775463,PO-000004034,0650/JL/CKRG/0226,1,TRM1389,SPONBON (CSUCMMS0020008),30000,PCS,55,0,1650000,181500,1831500,04002600044538230,PO : PO-000004034                       DO : 12365-030226
PT. KAWATA INDONESIA,46057.3910069444,KIPO26020016,0478/JL/CKRG/0226,1,TRM3030,"BRASS BALL VALVE 40A (LONG HANDLE ORANGE) MDT MODEL BV-600(1 1/2"") (CS099-1)",3,PCS,420000,0,1260000,138600,1398600,04012600024483731,PO : KIPO26020016DEL. NO : 12372-040226-KIPO26020016
PT. KAWATA INDONESIA,46057.3968518519,KIPO26020015,0479/JL/CKRG/0226,1,TRM0054,PLASTIC CLIP CLEAR 10CMX7CM [100PCS/PCK] (NB067-1),10,PCK,6100,0,61000,6710,67710,04002600026281974,PO : KIPO26020015DEL. NO : 12373-040226-KIPO26020015
PT. KAWATA INDONESIA,46057.3968518519,KIPO26020015,0479/JL/CKRG/0226,2,TRM0079,BUBBLE SHEET (NB058),3,ROL,156245,0,468735,51560.85,520295.85,04002600026281974,PO : KIPO26020015DEL. NO : 12373-040226-KIPO26020015
PT. KAWATA INDONESIA,46057.3978587963,KIPO26010243,0480/JL/CKRG/0226,1,TRM1370,METAL CONNECTOR SINOCONTEC PLUG+ FLANGE SOCKET 19M-4A+4E (4PIN) ZINC ALLOY,1,SET,136000,0,136000,14960,150960,04002600026281954,PO : KIPO26010243DEL. NO : 12374-040226-KIPO26010243
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,1,TRM0670,SPRING WASHER / RING PER M5 (S20C) (ZINC PLATED) (JB003),1000,PCS,44,0,44000,4840,48840,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,2,TRM0301,SPRING WASHER / RING PER M6 (SS400) (ZINC PLATED) (NB345),2000,PCS,48,0,96000,10560,106560,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,3,TRM0348,FLAT WASHER / RING PLATE (SS400) M6 (GALVANIZED) (NB033),1000,PCS,48,0,48000,5280,53280,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,4,TRM0296,HEX. NUT /  MUR (S20C) M6X1.0 (GALVANIZED) (JA006),500,PCS,190,0,95000,10450,105450,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,5,TRM0347,FLAT WASHER / RING PLATE (SS400) M4 (GALVANIZED) (NB512),2000,PCS,34,0,68000,7480,75480,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,6,TRM0671,FLAT WASHER / RING PLATE (SS400) Ø8 LEBAR (GALVANIZED) (NB419),300,PCS,346,0,103800,11418,115218,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,7,TRM0673,"TAPING SCREW 8X3/8"" GALVANIZED (NB368)",500,PCS,60,0,30000,3300,33300,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,8,TRM2158,CLAMP HOSE BAND (SILVER) Ø42 -  Ø48 (DOUBLE WIRE CLAMP) FOR PVC HOSE Ø38 /SILICONE HOSE  Ø43 (SUNTRAC) (NB060-1),300,PCS,6500,0,1950000,214500,2164500,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,9,TRM1158,CLAMP HOSE BAND (SILVER) Ø50-Ø55 (DOUBLE WIRE CLAMP) FOR SILICON HOSE Ø51 (SUNTRAC) (NB065),500,PCS,6412,0,3206000,352660,3558660,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,10,TRM0099,BOLT (BAUT JP) M4XP.07XL50MM (GALVANIZED) (NB488-1),500,PCS,384,0,192000,21120,213120,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,11,TRM0299,BOLT (BAUT L) M8XP1.25XL20MM (GALVANIZED) (NB360),500,PCS,891,0,445500,49005,494505,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,12,TRM0298,BOLT (BAUT HEXAGONAL) M8XP1.25XL25MM (GALVANIZED) (HA059),500,PCS,500,0,250000,27500,277500,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4014699074,KIPO26010263,0481/JL/CKRG/0226,13,TRM0117,BOLT (BAUT L) M8XP1.25XL16MM (GALVANIZED) (NB139),500,PCS,1650,0,825000,90750,915750,04002600026281952,PO : KIPO26010263DEL. NO : 12375-040226-KIPO26010263
PT. KAWATA INDONESIA,46057.4034143519,KIPO26010257,0482/JL/CKRG/0226,1,TRM0697,SARUNG TANGAN KARET SENSI SIZE : XL (NB145),3,BOX,103230,0,309690,34065.9,343755.9,04002600026281919,PO : KIPO26010257DEL. NO : 12376-040226-KIPO26010257
PT. TOYOTA BOSHOKU DEVICE INDONESIA,46057.4913657407,PO26-062-1,0592/JL/CKRG/0226,1,TRM4150,PALU KARET,4,PCS,90000,0,360000,39600,399600,04002600041698800,PO PO26-062-1DEL. NO : 12371-040226
PT. TOYOTA BOSHOKU DEVICE INDONESIA,46057.4913657407,PO26-062-1,0592/JL/CKRG/0226,2,TRM1300,PALU BESI KAMBING,4,PCS,86250,0,345000,37950,382950,04002600041698800,PO PO26-062-1DEL. NO : 12371-040226
PT. TOYOTA BOSHOKU DEVICE INDONESIA,46057.4913657407,PO26-062-1,0592/JL/CKRG/0226,3,TRM4498,PALU PLASTIK,3,PCS,160125,0,480375,52841.25,533216.25,04002600041698800,PO PO26-062-1DEL. NO : 12371-040226
PT. TOYOTA BOSHOKU DEVICE INDONESIA,46057.4913657407,PO26-062-1,0592/JL/CKRG/0226,4,TRM2128,ARC MEN GEL (NPO NOZZLE CLEANER),5,PCS,184500,0,922500,101475,1023975,04002600041698800,PO PO26-062-1DEL. NO : 12371-040226
