LAPORAN PENJUALAN DETAIL PERIODE JANUARI 2026,,,,,,,,,,,,,,,
Data per 3 february 2026,,,,,,,,,,,,,,,
Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
PT. INDOSAFETY SENTOSA INDUSTRY,1/29/2026 14:25,PO/IS510/260101077,0397/JL/CKRG/0126,1,TRM4452,"LAKBAN OKAMOTO 2""X50M",122.00,ROL,"38,410.00",0,"4,686,020.00"," 515,462.20 "," 5,201,482.20 ",,PO : PO/IS510/260101077            DO : 12353-290126
PT. INDOSAFETY SENTOSA INDUSTRY,1/29/2026 14:25,PO/IS510/260101077,0397/JL/CKRG/0126,2,TRM4458,EKATAPE 45MM X 85Y COKLAT,40.00,ROL,"10,896.00",0,"435,840.00"," 47,942.40 "," 483,782.40 ",,PO : PO/IS510/260101077            DO : 12353-290126
PT. JAYA REFRIGERATION EQUIPMENT,1/9/2026 16:37,JRE-KARAWANG-GA/137/01/2026,0195/JL/CKRG/0126,1,TRM4453,APAR TEMATIK,17.00,PCS,"823,500.00",0,"13,999,500.00"," 1,539,945.00 "," 15,539,445.00 ",04002600008623081,PO : JRE-KARAWANG-GA/137/01/2026                            DO : 12293-090126
PT. KAWASAKI MOTOR INDONESIA,1/10/2026 9:19,C90738,0232/JL/CKRG/0126,1,TRM0487,BOLT FLANGE 8X20 MC3 G7 (K1410-0025),"126,000.00",PCS,760.00,0,"95,760,000.00"," 10,533,600.00 "," 106,293,600.00 ",04002600009971271,PO : C90738                                  DO : 12297-100126
PT. KAWATA INDONESIA,1/6/2026 9:05,KIPO25090293,0028/JL/CKRG/0126,1,TRM0231,TERMINAL BLOCK UPUN UTD 10 (RD201),"1,000.00",PCS,"3,564.00",0,"3,564,000.00"," 392,040.00 "," 3,956,040.00 ",04002600000970210,PO : KIPO25090293                       DO : 12272-060125
PT. KAWATA INDONESIA,1/6/2026 9:26,KIPO25110014,0030/JL/CKRG/0126,1,TRM3446,FLOW METER WIEBROCK FOR AIR  20°C 1 ATM NI/MIN (OP-DF15),2.00,PCS,"625,000.00",0,"1,250,000.00"," 137,500.00 "," 1,387,500.00 ",04002600000970196,PO : KIPO25110014                       DO : 12270-060125
PT. KAWATA INDONESIA,1/6/2026 9:27,KIPO25120172,0032/JL/CKRG/0126,1,TRM1929,"TOWER LIGHT LED (Q-LIGHT) ST45LF-BZ 3-3 220-AC220V RAG (RED, AMBER, GREEN) BRACKET TYPE SZ18 C/W BUZZER (FLASHING) FOR DRYER TYPE (RG087)",2.00,PCS,"1,048,000.00",0,"2,096,000.00"," 230,560.00 "," 2,326,560.00 ",04002600000970202,PO : KIPO25120172                       DO : 12266-060125
PT. KAWATA INDONESIA,1/6/2026 9:29,KIPO25120191,0034/JL/CKRG/0126,1,TRM0671,FLAT WASHER / RING PLATE (SS400) Ø8 LEBAR (GALVANIZED) (NB419),"1,000.00",PCS,346.00,0,"346,000.00"," 38,060.00 "," 384,060.00 ",04002600000970214,PO : KIPO25120191                       DO : 12265-060125
PT. KAWATA INDONESIA,1/6/2026 9:29,KIPO25120191,0034/JL/CKRG/0126,2,TRM0298,BOLT (BAUT HEXAGONAL) M8XP1.25XL25MM (GALVANIZED) (HA059),500.00,PCS,500.00,0,"250,000.00"," 27,500.00 "," 277,500.00 ",04002600000970214,PO : KIPO25120191                       DO : 12265-060125
PT. KAWATA INDONESIA,1/6/2026 9:29,KIPO25120191,0034/JL/CKRG/0126,3,TRM2158,CLAMP HOSE BAND (SILVER) Ø42 -  Ø48 (DOUBLE WIRE CLAMP) FOR PVC HOSE Ø38 /SILICONE HOSE  Ø43 (SUNTRAC) (NB060-1),500.00,PCS,"6,500.00",0,"3,250,000.00"," 357,500.00 "," 3,607,500.00 ",04002600000970214,PO : KIPO25120191                       DO : 12265-060125
