Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,24,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,25,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,26,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,27,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,28,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,29,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,30,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,31,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,32,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,33,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,34,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,35,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,36,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,37,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),10,PC,10560,0,105600,11616,117216,4002600001948631,PO : 3400007823 DO : DLV-2512082939
